PPM_6,mag_6,PPM_35,mag_35,PPM_78,mag_78,PPM_97,mag_97
10.4129,275400,10.4056,93158.8,10.4056,48936,10.4039,15363.1
10.4064,273524,10.3991,91715.9,10.3991,52110.9,10.3974,14545.1
10.3999,273243,10.3926,92263.4,10.3926,50721.5,10.3909,15326.3
10.3934,273350,10.386,91732,10.386,48455.6,10.3844,15188.8
10.3869,273072,10.3795,91892.2,10.3795,50602.9,10.3779,15975.6
10.3804,273127,10.373,90892.4,10.373,49279.1,10.3714,16468.9
10.3738,271379,10.3665,90816.7,10.3665,49203,10.3649,17215.7
10.3673,271133,10.36,88861.3,10.36,48166.9,10.3584,16097
10.3608,272515,10.3535,92020.7,10.3535,50381.4,10.3519,14521.1
10.3543,272150,10.347,90782.2,10.347,48563,10.3454,16023.7
10.3478,270793,10.3405,90570.3,10.3405,49251.1,10.3389,14542.8
10.3413,273137,10.334,91820.2,10.334,50837.9,10.3324,14661.1
10.3348,271510,10.3275,90503.9,10.3275,49793,10.3259,15972
10.3283,269849,10.321,90390.3,10.321,49719.7,10.3194,15663
10.3218,269718,10.3145,90270.4,10.3145,49533.8,10.3128,14433.5
10.3153,268794,10.308,91345.4,10.308,50470,10.3063,16110.2
10.3088,270352,10.3015,89390.1,10.3015,51063.3,10.2998,16051.3
10.3023,269575,10.295,91718.5,10.295,49900.7,10.2933,15350.5
10.2958,269167,10.2884,91582.5,10.2884,49423,10.2868,13694.1
10.2893,269284,10.2819,89810.7,10.2819,47013.9,10.2803,14744.8
10.2828,269111,10.2754,89184.1,10.2754,49494.6,10.2738,16284.8
10.2762,268811,10.2689,90091.3,10.2689,48511.5,10.2673,13241.4
10.2697,268206,10.2624,89035.7,10.2624,48313.7,10.2608,16321.5
10.2632,268127,10.2559,89909.3,10.2559,49392.1,10.2543,15476.6
10.2567,266298,10.2494,91068.8,10.2494,47931.2,10.2478,15037.7
10.2502,266701,10.2429,88406.1,10.2429,49153.9,10.2413,15433.9
10.2437,269095,10.2364,88550.4,10.2364,48463.2,10.2348,14563.5
10.2372,267187,10.2299,88721.9,10.2299,48579.5,10.2283,13343
10.2307,267034,10.2234,87671.8,10.2234,48178.4,10.2218,14585.2
10.2242,265424,10.2169,89191.3,10.2169,49351.1,10.2152,15118.7
10.2177,266634,10.2104,89376.7,10.2104,49122.7,10.2087,15066.7
10.2112,265606,10.2039,88316.9,10.2039,47894.6,10.2022,14398.6
10.2047,266523,10.1974,89091.4,10.1974,48370.5,10.1957,14780.3
10.1982,265202,10.1908,87801.5,10.1908,46160.2,10.1892,13851.3
10.1917,265326,10.1843,87437.9,10.1843,47721.3,10.1827,12352
10.1852,264784,10.1778,87473.9,10.1778,47069.2,10.1762,15150.8
10.1786,263897,10.1713,89002.3,10.1713,47996.4,10.1697,12665.2
10.1721,264564,10.1648,87516.4,10.1648,47393,10.1632,14363.1
10.1656,263738,10.1583,89019.1,10.1583,48320.6,10.1567,13107
10.1591,265112,10.1518,87992,10.1518,47776.9,10.1502,14756.3
10.1526,264904,10.1453,88604.4,10.1453,47138,10.1437,14951.5
10.1461,265486,10.1388,86985.7,10.1388,45997.3,10.1372,14799.2
10.1396,264417,10.1323,87206.4,10.1323,48413.5,10.1307,14480.1
10.1331,262291,10.1258,87086.6,10.1258,47773.5,10.1241,15221.5
10.1266,263125,10.1193,86579.2,10.1193,46163.5,10.1176,14427.8
10.1201,262979,10.1128,85912.4,10.1128,48150.7,10.1111,14648.7
10.1136,262871,10.1063,87474.1,10.1063,45940.6,10.1046,12371.4
10.1071,260962,10.0997,86743,10.0997,47026.8,10.0981,14224.1
10.1006,262799,10.0932,86142.8,10.0932,47049.8,10.0916,14289.4
10.0941,260499,10.0867,89417.9,10.0867,47694.8,10.0851,11074.2
10.0875,260697,10.0802,86433.7,10.0802,47175.7,10.0786,14355.8
10.081,260006,10.0737,86584.3,10.0737,45997.2,10.0721,12641.3
10.0745,259500,10.0672,85577.3,10.0672,47373.2,10.0656,12526.8
10.068,260429,10.0607,86023.1,10.0607,47935,10.0591,14318.6
10.0615,260652,10.0542,85940.2,10.0542,47443.6,10.0526,13639.4
10.055,261561,10.0477,85004.1,10.0477,46007.4,10.0461,13105.5
